Date,region,totaltests,covidsheild_vials,Covaxin_vials,medical_employee,first_dose_administration,second_dose_administration
10/16/2020,NELLORE,3298,486,1029,14,144,392
10/28/2020,ViJAYAWADA,1760,1719,2819,134,147,268
12/4/2020,ViJAYAWADA,1116,1663,2403,135,214,316
11/18/2020,ViJAYAWADA,1049,1129,2353,173,222,248
5/14/2021,SEC,563,1103,2492,175,128,350
3/5/2021,NELLORE,601,269,3504,142,230,348
7/8/2020,SEC,2536,252,1877,112,222,375
8/9/2020,ViJAYAWADA,2613,980,2955,89,190,318
3/21/2021,SEC,2190,1468,674,74,152,344
11/12/2020,NELLORE,2959,73,3871,39,224,312
2/15/2021,ViJAYAWADA,161,71,708,51,205,390
1/11/2021,NELLORE,1419,1423,162,83,150,372
10/31/2020,NELLORE,2883,1322,490,13,167,404
7/7/2020,ViJAYAWADA,1523,818,1214,47,227,346
12/27/2020,ViJAYAWADA,1058,192,2605,19,197,264
10/10/2020,NELLORE,3186,1352,1697,56,207,244
3/18/2021,NELLORE,1434,167,3846,87,191,265
8/7/2020,SEC,276,715,1908,113,185,403
4/3/2021,SEC,3657,354,3593,106,176,242
3/20/2021,NELLORE,624,1550,1393,86,188,238
4/14/2021,ViJAYAWADA,52,95,685,179,158,349
9/25/2020,ViJAYAWADA,1675,1141,3585,177,152,286
8/9/2020,ViJAYAWADA,743,1050,855,81,223,291
10/7/2020,ViJAYAWADA,3696,694,290,110,223,386
12/27/2020,SEC,832,858,2649,139,169,238
9/11/2020,SEC,3580,1172,3989,45,203,262
12/20/2020,ViJAYAWADA,3633,1211,2442,140,180,240
4/13/2021,SEC,1501,1081,2380,130,188,355
9/21/2020,SEC,571,977,3691,87,202,401
4/10/2021,NELLORE,3345,1508,3557,152,184,276
9/10/2020,NELLORE,2481,869,531,57,164,346
7/25/2020,SEC,140,1559,2717,50,166,409
10/9/2020,NELLORE,1060,1694,77,40,209,329
3/24/2021,ViJAYAWADA,578,334,1756,47,177,220
8/9/2020,SEC,1833,546,2826,44,210,248
7/6/2020,ViJAYAWADA,3471,481,2314,54,194,323
2/11/2021,SEC,3091,795,1070,74,202,260
8/11/2020,ViJAYAWADA,491,1547,205,88,191,243
9/3/2020,NELLORE,1048,762,1253,73,155,321
6/16/2020,NELLORE,1390,337,1551,76,174,216
7/1/2020,SEC,843,929,857,137,121,305
11/15/2020,ViJAYAWADA,432,1135,1107,112,180,337
11/22/2020,ViJAYAWADA,3682,1440,184,212,205,337
5/15/2021,ViJAYAWADA,2518,372,581,128,126,397
